duplicate_customer_id,original_customer_id
DUP1589,LC194925
DUP1590,LC139196
DUP1591,LC164557
DUP1592,LC152298
DUP1593,LC112423
DUP1594,LC191624
DUP1595,LC143028
DUP1596,LC145664
DUP1597,LC175296
DUP1598,LC199948
DUP1599,LC192144
DUP1600,LC104554
DUP1601,LC161222
DUP1602,LC134446
DUP1603,LC118601
DUP1604,LC169592
DUP1605,LC126267
DUP1606,LC187555
DUP1607,LC119015
DUP1608,LC162737
DUP1609,LC153821
DUP1610,LC120168
DUP1611,LC128842
DUP1612,LC151883
DUP1613,LC190786
DUP1614,LC125679
DUP1615,LC127204
DUP1616,LC154488
DUP1617,LC194711
DUP1618,LC186202
DUP1619,LC164247
DUP1620,LC148286
DUP1621,LC145624
DUP1622,LC179876
DUP1623,LC182525
DUP1624,LC111536
DUP1625,LC150235
DUP1626,LC163533
DUP1627,LC101930
DUP1628,LC127683
DUP1629,LC130468
DUP1630,LC122907
DUP1631,LC166431
DUP1632,LC151226
DUP1633,LC168749
DUP1634,LC195726
DUP1635,LC151004
DUP1636,LC127723
DUP1637,LC102159
DUP1638,LC128841
DUP1639,LC136692
DUP1640,LC187524
DUP1641,LC141781
DUP1642,LC195169
DUP1643,LC191535
DUP1644,LC158139
DUP1645,LC112031
DUP1646,LC126351
DUP1647,LC100403
DUP1648,LC138972
DUP1649,LC145357
DUP1650,LC147671
DUP1651,LC148116
DUP1652,LC130284
DUP1653,LC113309
DUP1654,LC173878
DUP1655,LC111584
DUP1656,LC199747
DUP1657,LC153558
DUP1658,LC170939
DUP1659,LC189276
DUP1660,LC110451
DUP1661,LC197929
DUP1662,LC157162
DUP1663,LC177221
DUP1664,LC177848
DUP1665,LC187801
DUP1666,LC195287
DUP1667,LC169831
DUP1668,LC172789
DUP1669,LC152184
DUP1670,LC196123
DUP1671,LC126081
DUP1672,LC191201
DUP1673,LC199840
DUP1674,LC106513
DUP1675,LC185892
DUP1676,LC142033
DUP1677,LC179089
DUP1678,LC156573
DUP1679,LC121083
DUP1680,LC169152
DUP1681,LC184475
DUP1682,LC152764
DUP1683,LC168326
DUP1684,LC145982
DUP1685,LC100884
DUP1686,LC163254
DUP1687,LC105501
DUP1688,LC101020
DUP1689,LC120657
DUP1690,LC187943
DUP1691,LC160852
DUP1692,LC102303
DUP1693,LC109694
DUP1694,LC195496
DUP1695,LC144396
DUP1696,LC130514
DUP1697,LC170419
DUP1698,LC130562
DUP1699,LC118647
DUP1700,LC191831
DUP1701,LC196129
DUP1702,LC128758
DUP1703,LC148929
DUP1704,LC138152
DUP1705,LC193262
DUP1706,LC126191
DUP1707,LC164776
DUP1708,LC184073
DUP1709,LC109636
DUP1710,LC118247
DUP1711,LC121382
DUP1712,LC113874
DUP1713,LC170388
DUP1714,LC154995
DUP1715,LC108460
DUP1716,LC139239
DUP1717,LC107467
DUP1718,LC126712
DUP1719,LC171068
DUP1720,LC199044
DUP1721,LC187338
DUP1722,LC125208
DUP1723,LC127281
DUP1724,LC103961
DUP1725,LC179370
DUP1726,LC132371
DUP1727,LC187466
DUP1728,LC118293
DUP1729,LC167316
DUP1730,LC171466
DUP1731,LC130231
DUP1732,LC113950
DUP1733,LC169432
DUP1734,LC109183
DUP1735,LC102252
DUP1736,LC111874
DUP1737,LC111136
DUP1738,LC129544
DUP1739,LC181432
DUP1740,LC139493
DUP1741,LC190975
DUP1742,LC134555
DUP1743,LC110312
DUP1744,LC191415
DUP1745,LC103309
DUP1746,LC148449
DUP1747,LC148422
DUP1748,LC114841
DUP1749,LC136422
DUP1750,LC194717
DUP1751,LC169889
DUP1752,LC185409
DUP1753,LC194909
DUP1754,LC156668
DUP1755,LC111029
DUP1756,LC137293
DUP1757,LC109308
DUP1758,LC154291
DUP1759,LC117177
DUP1760,LC198566
DUP1761,LC173907
DUP1762,LC167581
DUP1763,LC116083
DUP1764,LC162778
DUP1765,LC157815
DUP1766,LC139463
DUP1767,LC145605
DUP1768,LC191722
DUP1769,LC169722
DUP1770,LC173423
DUP1771,LC168219
DUP1772,LC116780
DUP1773,LC136171
DUP1774,LC117453
DUP1775,LC133919
DUP1776,LC175692
DUP1777,LC128415
DUP1778,LC134182
DUP1779,LC194861
DUP1780,LC114297
DUP1781,LC155437
DUP1782,LC167717
DUP1783,LC156872
DUP1784,LC137865
DUP1785,LC129309
DUP1786,LC141225
DUP1787,LC192360
DUP1788,LC154445
DUP1789,LC170594
DUP1790,LC106777
DUP1791,LC181703
DUP1792,LC174693
DUP1793,LC145350
DUP1794,LC147619
DUP1795,LC148034
DUP1796,LC179182
DUP1797,LC145051
DUP1798,LC199407
DUP1799,LC139706
DUP1800,LC171626
DUP1801,LC118080
DUP1802,LC199770
DUP1803,LC199181
DUP1804,LC168032
DUP1805,LC180455
DUP1806,LC161493
DUP1807,LC140184
DUP1808,LC171275
DUP1809,LC190602
DUP1810,LC143768
DUP1811,LC199173
DUP1812,LC125421
DUP1813,LC164521
DUP1814,LC111833
DUP1815,LC135061
DUP1816,LC176621
DUP1817,LC106751
DUP1818,LC122505
DUP1819,LC129306
DUP1820,LC147048
DUP1821,LC107875
DUP1822,LC116266
DUP1823,LC135100
DUP1824,LC102933
DUP1825,LC156337
DUP1826,LC126521
DUP1827,LC106765
DUP1828,LC165028
DUP1829,LC143178
DUP1830,LC185842
DUP1831,LC168872
DUP1832,LC106567
DUP1833,LC149922
DUP1834,LC146635
DUP1835,LC182835
DUP1836,LC153125
DUP1837,LC178470
DUP1838,LC104282
DUP1839,LC123181
DUP1840,LC131829
DUP1841,LC193182
DUP1842,LC194048
DUP1843,LC191517
DUP1844,LC153406
DUP1845,LC177126
DUP1846,LC158123
DUP1847,LC114316
DUP1848,LC130649
DUP1849,LC121194
DUP1850,LC103414
DUP1851,LC154801
DUP1852,LC131205
DUP1853,LC142702
DUP1854,LC129010
DUP1855,LC195722
DUP1856,LC149648
DUP1857,LC128054
DUP1858,LC161577
DUP1859,LC194281
DUP1860,LC149248
DUP1861,LC125452
DUP1862,LC160337
DUP1863,LC130724
DUP1864,LC109259
DUP1865,LC153191
DUP1866,LC151993
DUP1867,LC134567
DUP1868,LC132570
DUP1869,LC111163
DUP1870,LC150003
DUP1871,LC141005
DUP1872,LC196251
DUP1873,LC162291
DUP1874,LC164117
DUP1875,LC145731
DUP1876,LC112698
DUP1877,LC133425
DUP1878,LC130105
DUP1879,LC189239
DUP1880,LC145657
DUP1881,LC169494
DUP1882,LC192438
DUP1883,LC158983
DUP1884,LC189588
DUP1885,LC139482
DUP1886,LC128742
DUP1887,LC103965
DUP1888,LC105685
DUP1889,LC107913
DUP1890,LC129832
DUP1891,LC169554
DUP1892,LC104927
DUP1893,LC189279
DUP1894,LC129046
DUP1895,LC124806
DUP1896,LC166216
DUP1897,LC158444
DUP1898,LC199961
DUP1899,LC106708
DUP1900,LC191564
DUP1901,LC162127
DUP1902,LC135062
DUP1903,LC157611
DUP1904,LC153330
DUP1905,LC194584
DUP1906,LC140879
DUP1907,LC105327
DUP1908,LC169674
DUP1909,LC195476
DUP1910,LC143311
DUP1911,LC199339
DUP1912,LC173557
DUP1913,LC111154
DUP1914,LC100246
DUP1915,LC104056
DUP1916,LC100820
DUP1917,LC174497
DUP1918,LC151900
DUP1919,LC107574
DUP1920,LC145301
DUP1921,LC113492
DUP1922,LC190352
DUP1923,LC181889
DUP1924,LC167217
DUP1925,LC151667
DUP1926,LC195343
DUP1927,LC192640
DUP1928,LC106793
DUP1929,LC154046
DUP1930,LC116359
DUP1931,LC114261
DUP1932,LC187559
DUP1933,LC138562
DUP1934,LC167307
DUP1935,LC153970
DUP1936,LC137542
DUP1937,LC198770
DUP1938,LC120731
DUP1939,LC171317
DUP1940,LC121347
DUP1941,LC101757
DUP1942,LC112977
DUP1943,LC188172
DUP1944,LC194332
DUP1945,LC169076
DUP1946,LC130116
DUP1947,LC157344
DUP1948,LC115650
DUP1949,LC166369
DUP1950,LC147684
DUP1951,LC143527
DUP1952,LC107105
DUP1953,LC120190
DUP1954,LC103440
DUP1955,LC136854
DUP1956,LC118814
DUP1957,LC167453
DUP1958,LC154804
DUP1959,LC139620
DUP1960,LC155281
DUP1961,LC199270
DUP1962,LC159141
DUP1963,LC150731
DUP1964,LC113266
DUP1965,LC155157
DUP1966,LC138396
DUP1967,LC151324
DUP1968,LC120415
DUP1969,LC148377
DUP1970,LC175087
DUP1971,LC101884
DUP1972,LC161959
DUP1973,LC187176
DUP1974,LC125958
DUP1975,LC160478
DUP1976,LC137038
DUP1977,LC147041
DUP1978,LC140121
DUP1979,LC157744
DUP1980,LC141077
DUP1981,LC186606
DUP1982,LC189106
DUP1983,LC138497
DUP1984,LC135842
DUP1985,LC151588
DUP1986,LC179189
DUP1987,LC183817
DUP1988,LC162673
DUP1989,LC118738
DUP1990,LC105529
DUP1991,LC145304
DUP1992,LC114290
DUP1993,LC108355
DUP1994,LC187328
DUP1995,LC123236
DUP1996,LC132764
DUP1997,LC141017
DUP1998,LC143833
DUP1999,LC117341
DUP2000,LC114951
DUP2001,LC197286
DUP2002,LC146305
DUP2003,LC185578
DUP2004,LC182627
DUP2005,LC128235
DUP2006,LC172378
DUP2007,LC121468
DUP2008,LC106213
DUP2009,LC101994
DUP2010,LC115041
DUP2011,LC159929
DUP2012,LC110280
DUP2013,LC178832
DUP2014,LC185461
DUP2015,LC151561
DUP2016,LC131349
DUP2017,LC177703
DUP2018,LC194041
DUP2019,LC150747
DUP2020,LC145151
DUP2021,LC163650
DUP2022,LC174655
DUP2023,LC174024
DUP2024,LC194056
DUP2025,LC144320
DUP2026,LC147797
DUP2027,LC178121
DUP2028,LC159305
DUP2029,LC149463
DUP2030,LC187662
DUP2031,LC188393
DUP2032,LC104479
DUP2033,LC180933
DUP2034,LC147906
DUP2035,LC185634
DUP2036,LC183922
DUP2037,LC187389
DUP2038,LC186595
DUP2039,LC167002
DUP2040,LC167145
DUP2041,LC149286
DUP2042,LC199722
DUP2043,LC100178
DUP2044,LC139345
DUP2045,LC154974
DUP2046,LC149741
DUP2047,LC199511
DUP2048,LC123639
DUP2049,LC156888
DUP2050,LC134016
DUP2051,LC123748
DUP2052,LC171238
DUP2053,LC151994
DUP2054,LC107910
DUP2055,LC125597
DUP2056,LC167970
DUP2057,LC166372
DUP2058,LC135010
DUP2059,LC154933
DUP2060,LC122428
DUP2061,LC141978
DUP2062,LC116370
DUP2063,LC175765
DUP2064,LC174968
DUP2065,LC189050
DUP2066,LC176566
DUP2067,LC192381
DUP2068,LC187285
DUP2069,LC105691
DUP2070,LC151758
DUP2071,LC198397
DUP2072,LC111701
DUP2073,LC143121
DUP2074,LC153907
DUP2075,LC159252
DUP2076,LC173810
DUP2077,LC167325
DUP2078,LC104407
DUP2079,LC162319
DUP2080,LC188367
DUP2081,LC151664
DUP2082,LC145473
DUP2083,LC117227
DUP2084,LC120627
DUP2085,LC111017
DUP2086,LC160907
DUP2087,LC143811
DUP2088,LC110330
DUP2089,LC128840
DUP2090,LC171506
DUP2091,LC141347
DUP2092,LC122818
DUP2093,LC147153
DUP2094,LC127363
DUP2095,LC169534
DUP2096,LC120899
DUP2097,LC165895
DUP2098,LC135004
DUP2099,LC106179
DUP2100,LC105258
DUP2101,LC131530
DUP2102,LC105483
DUP2103,LC184518
DUP2104,LC108043
DUP2105,LC158614
DUP2106,LC187146
DUP2107,LC125780
DUP2108,LC108245
DUP2109,LC138691
DUP2110,LC110027
DUP2111,LC196284
DUP2112,LC112089
DUP2113,LC188223
DUP2114,LC169201
DUP2115,LC171849
DUP2116,LC195334
DUP2117,LC146478
DUP2118,LC110618
DUP2119,LC167282
DUP2120,LC186701
DUP2121,LC194179
DUP2122,LC193332
DUP2123,LC115993
DUP2124,LC117207
DUP2125,LC194515
DUP2126,LC158243
DUP2127,LC190159
DUP2128,LC140081
DUP2129,LC178907
DUP2130,LC158044
DUP2131,LC119977
DUP2132,LC139484
DUP2133,LC187819
DUP2134,LC119751
DUP2135,LC129873
DUP2136,LC105248
DUP2137,LC123169
DUP2138,LC102076
DUP2139,LC175375
DUP2140,LC186661
DUP2141,LC193293
DUP2142,LC169159
DUP2143,LC102891
DUP2144,LC111525
DUP2145,LC101806
DUP2146,LC189477
DUP2147,LC182123
DUP2148,LC196303
DUP2149,LC187624
DUP2150,LC102384
DUP2151,LC172354
DUP2152,LC132616
DUP2153,LC166059
DUP2154,LC138136
DUP2155,LC154501
DUP2156,LC147722
DUP2157,LC188038
DUP2158,LC106520
DUP2159,LC116423
DUP2160,LC119923
DUP2161,LC196657
DUP2162,LC131245
DUP2163,LC103449
DUP2164,LC127234
DUP2165,LC159777
DUP2166,LC138127
DUP2167,LC131149
DUP2168,LC161635
DUP2169,LC157911
DUP2170,LC163101
DUP2171,LC157301
DUP2172,LC166836
DUP2173,LC115709
DUP2174,LC170953
DUP2175,LC144266
DUP2176,LC146351
DUP2177,LC104025
DUP2178,LC140534
DUP2179,LC176677
DUP2180,LC157361
DUP2181,LC173806
DUP2182,LC179177
DUP2183,LC111205
DUP2184,LC111068
DUP2185,LC138769
DUP2186,LC115363
DUP2187,LC170942
DUP2188,LC122535
DUP2189,LC100117
DUP2190,LC120973
DUP2191,LC131042
DUP2192,LC194845
DUP2193,LC193722
DUP2194,LC176598
DUP2195,LC158921
DUP2196,LC141877
DUP2197,LC176592
DUP2198,LC188625
DUP2199,LC134118
DUP2200,LC115389
DUP2201,LC146542
DUP2202,LC118777
DUP2203,LC118762
DUP2204,LC106182
DUP2205,LC199878
DUP2206,LC121129
DUP2207,LC119878
DUP2208,LC143955
DUP2209,LC171417
DUP2210,LC135977
DUP2211,LC179117
DUP2212,LC160971
DUP2213,LC163884
DUP2214,LC163589
DUP2215,LC171628
DUP2216,LC169701
DUP2217,LC151762
DUP2218,LC162302
DUP2219,LC118537
DUP2220,LC153223
DUP2221,LC163835
DUP2222,LC131039
DUP2223,LC156123
DUP2224,LC171431
DUP2225,LC128284
DUP2226,LC136505
DUP2227,LC107790
DUP2228,LC190467
DUP2229,LC193812
DUP2230,LC183405
DUP2231,LC164044
DUP2232,LC139406
DUP2233,LC183562
DUP2234,LC110844
DUP2235,LC128653
DUP2236,LC154065
DUP2237,LC115345
DUP2238,LC115016
DUP2239,LC191095
DUP2240,LC116837
DUP2241,LC119134
DUP2242,LC171060
DUP2243,LC128604
DUP2244,LC123257
DUP2245,LC156963
DUP2246,LC129766
DUP2247,LC197896
DUP2248,LC167488
DUP2249,LC105165
DUP2250,LC183513
DUP2251,LC151454
DUP2252,LC181181
DUP2253,LC143426
DUP2254,LC158766
DUP2255,LC128735
DUP2256,LC125289
DUP2257,LC167604
DUP2258,LC167321
DUP2259,LC182897
DUP2260,LC107835
DUP2261,LC151868
DUP2262,LC101110
DUP2263,LC149634
DUP2264,LC116879
DUP2265,LC147617
DUP2266,LC163958
DUP2267,LC197806
DUP2268,LC174345
